case_id,axis,parameter,value,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,event_gap,window_size,activation_threshold,noise_episodes,min_participants,active_mean,active_std,baseline_mean,baseline_std,dropout_probability,spurious_probability
gap_0,temporal_separation,event_gap,0.0,faithful,within_useful_manifold,599,399,30,60;60;60,1.0,1.000556,0.000556,0.749861,1.0,1.0,0.0,1.0,1.0,1.0,3,0,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_1,temporal_separation,event_gap,1.0,faithful,within_useful_manifold,600,400,27,60;60;60,1.0,1.0,0.0,0.8125,1.0,1.0,0.0,1.0,1.0,1.0,3,1,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_2,temporal_separation,event_gap,2.0,faithful,within_useful_manifold,600,400,26,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_3,temporal_separation,event_gap,3.0,faithful,within_useful_manifold,600,400,32,60;60;60,1.0,1.0,0.0,0.875,1.0,1.0,0.0,1.0,1.0,1.0,3,3,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_5,temporal_separation,event_gap,5.0,faithful,within_useful_manifold,600,400,31,60;60;60,1.0,1.0,0.0,0.90625,1.0,1.0,0.0,1.0,1.0,1.0,3,5,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
signal_0.55,signal_separation,active_mean,0.55,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,0.55,0.05,0.03,0.01,0.0,0.0
signal_0.70,signal_separation,active_mean,0.7,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,0.7,0.05,0.03,0.01,0.0,0.0
signal_0.85,signal_separation,active_mean,0.85,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.023309,0.023309,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,0.85,0.05,0.03,0.01,0.0,0.0
signal_1.00,signal_separation,active_mean,1.0,faithful,within_useful_manifold,600,400,31,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
signal_1.15,signal_separation,active_mean,1.15,degraded,overcapture_degradation,600,400,29,60;60;60,1.0,1.413889,0.413889,0.787917,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.15,0.05,0.03,0.01,0.0,0.0
active_std_0.02,active_variance,active_std,0.02,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.02,0.03,0.01,0.0,0.0
active_std_0.05,active_variance,active_std,0.05,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
active_std_0.10,active_variance,active_std,0.1,faithful,within_useful_manifold,600,400,32,60;60;60,1.0,1.004464,0.004464,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.1,0.03,0.01,0.0,0.0
active_std_0.20,active_variance,active_std,0.2,degraded,overcapture_degradation;motif_degradation,582,382,27,52;55;56,0.866667,1.116656,0.116656,0.850833,1.0,0.982301,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.2,0.03,0.01,0.0,0.0
active_std_0.35,active_variance,active_std,0.35,failed,overcapture_degradation;motif_loss,496,297,29,31;35;39,0.516667,1.156036,0.156036,0.866333,1.0,0.933333,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.35,0.03,0.01,0.0,0.0
baseline_mean_0.03,baseline_elevation,baseline_mean,0.03,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
baseline_mean_0.15,baseline_elevation,baseline_mean,0.15,faithful,within_useful_manifold,600,400,33,60;60;60,1.0,1.005556,0.005556,0.849167,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.15,0.01,0.0,0.0
baseline_mean_0.30,baseline_elevation,baseline_mean,0.3,degraded,overcapture_degradation,598,398,28,60;60;60,1.0,1.316667,0.316667,0.8025,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.3,0.01,0.0,0.0
baseline_mean_0.45,baseline_elevation,baseline_mean,0.45,failed,overcapture,599,399,29,60;60;60,1.0,1.550556,0.550556,0.767417,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.45,0.01,0.0,0.0
baseline_mean_0.60,baseline_elevation,baseline_mean,0.6,failed,overcapture,600,400,28,60;60;60,1.0,1.571667,0.571667,0.76425,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.6,0.01,0.0,0.0
baseline_std_0.01,baseline_variance,baseline_std,0.01,faithful,within_useful_manifold,600,400,29,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
baseline_std_0.05,baseline_variance,baseline_std,0.05,faithful,within_useful_manifold,600,400,31,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.05,0.0,0.0
baseline_std_0.10,baseline_variance,baseline_std,0.1,faithful,within_useful_manifold,600,400,31,60;60;60,1.0,1.000556,0.000556,0.849917,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.1,0.0,0.0
baseline_std_0.20,baseline_variance,baseline_std,0.2,faithful,within_useful_manifold,600,400,29,60;60;60,1.0,1.011105,0.011105,0.84825,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.2,0.0,0.0
baseline_std_0.35,baseline_variance,baseline_std,0.35,degraded,coverage_degradation,600,400,31,59;60;60,0.983333,0.937359,0.0,0.844125,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.35,0.0,0.0
dropout_0.00,active_dropout,dropout_probability,0.0,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
dropout_0.05,active_dropout,dropout_probability,0.05,failed,coverage_degradation;motif_loss,442,247,26,21;26;27,0.35,0.774081,0.0,0.8895,1.0,0.901408,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.05,0.0
dropout_0.10,active_dropout,dropout_probability,0.1,failed,undercapture;motif_loss,325,144,22,11;10;10,0.166667,0.601295,0.0,0.91875,1.0,0.8,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.1,0.0
dropout_0.20,active_dropout,dropout_probability,0.2,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,138,29,13,0;0;0,0.0,0.290323,0.0,0.9655,0.0,0.6,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.2,0.0
dropout_0.35,active_dropout,dropout_probability,0.35,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,46,2,5,0;0;0,0.0,0.118252,0.0,0.9885,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.35,0.0
dropout_0.50,active_dropout,dropout_probability,0.5,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,11,0,1,0;0;0,0.0,0.036125,0.0,0.99725,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.5,0.0
spurious_0.00,inactive_spurious_activity,spurious_probability,0.0,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
spurious_0.01,inactive_spurious_activity,spurious_probability,0.01,degraded,coverage_degradation,600,400,29,60;60;60,1.0,0.948367,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.01
spurious_0.03,inactive_spurious_activity,spurious_probability,0.03,degraded,coverage_degradation,600,400,28,60;60;60,1.0,0.859394,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.03
spurious_0.05,inactive_spurious_activity,spurious_probability,0.05,degraded,coverage_degradation,600,400,29,60;60;60,1.0,0.774388,0.0,0.849833,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.05
spurious_0.10,inactive_spurious_activity,spurious_probability,0.1,failed,undercapture;motif_degradation,602,402,31,60;56;60,0.933333,0.645344,0.0,0.847833,1.0,0.991667,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.1
spurious_0.20,inactive_spurious_activity,spurious_probability,0.2,failed,undercapture;motif_degradation;history_prediction_degradation,615,415,48,51;47;54,0.783333,0.506909,0.0,0.8395,0.894737,0.923077,0.00813,0.886607,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.2
min_participants_1,participant_cardinality,min_participants,1.0,faithful,within_useful_manifold,603,403,36,60;60;59,0.983333,1.0025,0.0025,0.849625,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,1,1.0,0.05,0.03,0.01,0.0,0.0
min_participants_2,participant_cardinality,min_participants,2.0,faithful,within_useful_manifold,600,400,29,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
min_participants_3,participant_cardinality,min_participants,3.0,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,3,1.0,0.05,0.03,0.01,0.0,0.0
